(A)chondrite,id,Class,Country,latitude,longitude,ff,Group,Locality,mck,Month,Name,Petrologic type,Recovered weight,Shock stage,Synonyms,Type,wg,Year
Chondrite,43118,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.534,,Queen Alexandra Range 94534,5,0.0042,,,Stone,B/C,1994.0
Chondrite,43459,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.100,,Queen Alexandra Range 97100,5,0.0163,,,Stone,B,1997.0
,43222,Mesosiderite,Antarctica,-84.0,168.0,Find,MES,Victoria Land,Q94.639,,Queen Alexandra Range 94639,,0.0006,,,Stony-Iron,B/Ce,1994.0
Chondrite,43548,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.138,,Queen Alexandra Range 97138,5,0.0136,,,Stone,B,1997.0
Chondrite,44100,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.692,,Queen Alexandra Range 97692,5,0.0201,,,Stone,B,1997.0
Achondrite,43119,Winonaite,Antarctica,-84.0,168.0,Find,WIN,Victoria Land,Q94.535,,Queen Alexandra Range 94535,,0.0113,S2,,Stone,C,1994.0
Chondrite,43460,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.1000,,Queen Alexandra Range 971000,5,0.0004,,,Stone,C,1997.0
Chondrite,43228,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.645,,Queen Alexandra Range 94645,5,0.0264,,,Stone,A/B,1994.0
Chondrite,43549,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.139,,Queen Alexandra Range 97139,5,0.0208,,,Stone,B,1997.0
Chondrite,44104,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q97.696,,Queen Alexandra Range 97696,6,0.014,,,Stone,C,1997.0
Chondrite,43120,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.536,,Queen Alexandra Range 94536,6,0.0035,,,Stone,B/C,1994.0
Chondrite,43461,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.1001,,Queen Alexandra Range 971001,5,0.0222,,,Stone,B,1997.0
Chondrite,43231,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.648,,Queen Alexandra Range 94648,5,0.0237,,,Stone,A/B,1994.0
Chondrite,43562,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.152,,Queen Alexandra Range 97152,5,0.0003,,,Stone,B,1997.0
Chondrite,44106,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.698,,Queen Alexandra Range 97698,5,0.0039,,,Stone,B,1997.0
Chondrite,43122,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.538,,Queen Alexandra Range 94538,6,0.0111,,,Stone,A/B,1994.0
Chondrite,43468,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.1008,,Queen Alexandra Range 971008,5,0.0017,,,Stone,B,1997.0
Chondrite,43238,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.655,,Queen Alexandra Range 94655,5,0.0361,,,Stone,B,1994.0
Chondrite,43567,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.157,,Queen Alexandra Range 97157,5,0.0048,,,Stone,B,1997.0
Chondrite,44107,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.699,,Queen Alexandra Range 97699,5,0.0077,,,Stone,A/B,1997.0
Chondrite,43129,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q94.545,,Queen Alexandra Range 94545,5,0.0066,,,Stone,B,1994.0
Chondrite,43471,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q97.1010,,Queen Alexandra Range 971010,5,0.0024,,,Stone,C,1997.0
Chondrite,43239,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.656,,Queen Alexandra Range 94656,5,0.0186999999999999,,,Stone,B,1994.0
Chondrite,43572,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.162,,Queen Alexandra Range 97162,5,0.0048,,,Stone,A/B,1997.0
Chondrite,44108,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.700,,Queen Alexandra Range 97700,5,0.0116,,,Stone,A/B,1997.0
Chondrite,43131,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.547,,Queen Alexandra Range 94547,5,0.0012,,,Stone,B,1994.0
Chondrite,43477,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.1016,,Queen Alexandra Range 971016,5,0.0001,,,Stone,B,1997.0
Chondrite,43249,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q94.666,,Queen Alexandra Range 94666,5,0.0040999999999999,,,Stone,B,1994.0
Chondrite,43577,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.167,,Queen Alexandra Range 97167,5,0.0024,,,Stone,B,1997.0
Chondrite,44113,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.705,,Queen Alexandra Range 97705,5,0.0068,,,Stone,A/B,1997.0
Chondrite,43138,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.554,,Queen Alexandra Range 94554,5,0.039,,,Stone,A/B,1994.0
Chondrite,43488,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q97.1027,,Queen Alexandra Range 971027,6,0.0696,,,Stone,B/C,1997.0
Chondrite,43269,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q94.686,,Queen Alexandra Range 94686,5,0.004,,,Stone,B/C,1994.0
Chondrite,43578,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q97.168,,Queen Alexandra Range 97168,3,0.0248,,,Stone,C,1997.0
Chondrite,44116,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.708,,Queen Alexandra Range 97708,5,0.0029,,,Stone,B/C,1997.0
Chondrite,43143,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.559,,Queen Alexandra Range 94559,5,0.0085,,,Stone,A/B,1994.0
Chondrite,43491,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.103,,Queen Alexandra Range 97103,5,0.019,,,Stone,B,1997.0
Chondrite,43271,Carbonaceous,Antarctica,-84.0,168.0,Find,CV,Victoria Land,Q94.688,,Queen Alexandra Range 94688,3,0.0106,,,Stone,B,1994.0
Chondrite,43580,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.170,,Queen Alexandra Range 97170,5,0.0118,,,Stone,A,1997.0
Chondrite,44150,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q97.742,,Queen Alexandra Range 97742,6,0.0224,,,Stone,C,1997.0
Chondrite,43147,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.563,,Queen Alexandra Range 94563,5,0.0046,,,Stone,A/B,1994.0
Chondrite,43494,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.1032,,Queen Alexandra Range 971032,5,0.0021,,,Stone,B,1997.0
Chondrite,43278,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.695,,Queen Alexandra Range 94695,5,0.0124,,,Stone,B,1994.0
Chondrite,43581,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.171,,Queen Alexandra Range 97171,5,0.0435,,,Stone,A,1997.0
Chondrite,44151,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q97.743,,Queen Alexandra Range 97743,6,0.0154,,,Stone,B,1997.0
Chondrite,43153,Carbonaceous,Antarctica,-84.0,168.0,Find,C,Victoria Land,Q94.570,,Queen Alexandra Range 94570,4,0.0572,,,Stone,B/Ce,1994.0
Chondrite,43501,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.1039,,Queen Alexandra Range 971039,5,0.0089,,,Stone,B/C,1997.0
Chondrite,43279,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.696,,Queen Alexandra Range 94696,5,0.0033,,,Stone,B,1994.0
Chondrite,43583,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.173,,Queen Alexandra Range 97173,5,0.0702,,,Stone,B,1997.0
Chondrite,44153,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q97.745,,Queen Alexandra Range 97745,6,0.0458999999999999,,,Stone,C,1997.0
Chondrite,43163,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.580,,Queen Alexandra Range 94580,6,0.0040999999999999,,,Stone,B,1994.0
Chondrite,43504,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q97.1041,,Queen Alexandra Range 971041,6,0.0047,,,Stone,C,1997.0
Chondrite,43287,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.704,,Queen Alexandra Range 94704,5,0.003,,,Stone,B/C,1994.0
Chondrite,43586,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.176,,Queen Alexandra Range 97176,5,0.0028,,,Stone,A,1997.0
Chondrite,44160,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.752,,Queen Alexandra Range 97752,5,0.0775999999999999,,,Stone,A/B,1997.0
Chondrite,43164,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.581,,Queen Alexandra Range 94581,6,0.0533,,,Stone,B,1994.0
Chondrite,43510,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q97.1047,,Queen Alexandra Range 971047,6,0.0991,,,Stone,C,1997.0
Chondrite,43296,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q94.713,,Queen Alexandra Range 94713,6,0.0022,,,Stone,B/C,1994.0
Chondrite,43595,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.185,,Queen Alexandra Range 97185,5,0.0378,,,Stone,B,1997.0
Chondrite,44167,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.759,,Queen Alexandra Range 97759,5,0.0259,,,Stone,B,1997.0
Chondrite,43167,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q94.584,,Queen Alexandra Range 94584,6,0.004,,,Stone,A/B,1994.0
Chondrite,43520,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q97.110,,Queen Alexandra Range 97110,5,0.0552,,,Stone,A/B,1997.0
Chondrite,43299,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.716,,Queen Alexandra Range 94716,5,0.1281999999999999,,,Stone,B,1994.0
Chondrite,43596,Carbonaceous,Antarctica,-84.0,168.0,Find,CV,Victoria Land,Q97.186,,Queen Alexandra Range 97186,3,0.0727,,,Stone,B,1997.0
Chondrite,44186,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.779,,Queen Alexandra Range 97779,5,0.0075,,,Stone,B/C,1997.0
Chondrite,43172,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.589,,Queen Alexandra Range 94589,6,0.0152,,,Stone,A,1994.0
Chondrite,43527,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.117,,Queen Alexandra Range 97117,5,0.012,,,Stone,B,1997.0
Chondrite,43301,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.718,,Queen Alexandra Range 94718,5,0.071,,,Stone,Be,1994.0
Chondrite,43600,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.190,,Queen Alexandra Range 97190,5,0.0592,,,Stone,A/B,1997.0
Chondrite,44194,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.787,,Queen Alexandra Range 97787,5,0.0044,,,Stone,C,1997.0
Chondrite,43181,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.598,,Queen Alexandra Range 94598,5,0.0098,,,Stone,B/C,1994.0
Chondrite,43534,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.124,,Queen Alexandra Range 97124,5,0.0143,,,Stone,A/B,1997.0
Chondrite,43308,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.725,,Queen Alexandra Range 94725,6,0.0028,,,Stone,B/C,1994.0
Chondrite,43605,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.195,,Queen Alexandra Range 97195,5,0.0008,,,Stone,B,1997.0
Chondrite,44196,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.789,,Queen Alexandra Range 97789,5,0.0007,,,Stone,C,1997.0
Chondrite,43183,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.600,,Queen Alexandra Range 94600,5,0.0208,,,Stone,B,1994.0
Chondrite,43538,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.128,,Queen Alexandra Range 97128,5,0.0345,,,Stone,A/B,1997.0
Chondrite,43309,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.726,,Queen Alexandra Range 94726,6,0.001,,,Stone,B/Ce,1994.0
Chondrite,43619,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.209,,Queen Alexandra Range 97209,5,0.0176,,,Stone,A/B,1997.0
Chondrite,44220,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.813,,Queen Alexandra Range 97813,5,0.0116999999999999,,,Stone,A/B,1997.0
Chondrite,43185,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.602,,Queen Alexandra Range 94602,5,0.0022,,,Stone,B,1994.0
Chondrite,43539,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.129,,Queen Alexandra Range 97129,5,0.0276,,,Stone,A/B,1997.0
Chondrite,43322,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.739,,Queen Alexandra Range 94739,5,0.0013,,,Stone,A/B,1994.0
Chondrite,43623,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.213,,Queen Alexandra Range 97213,5,0.0579,,,Stone,A/B,1997.0
